,state,create_to_launch_day,launch_to_deadline_day,year,staff_pick
1,failed,12,17,2019,False
2,successful,6,44,2012,True
3,failed,0,30,2017,False
4,successful,8,18,2017,False
5,successful,0,30,2016,False
6,successful,3,29,2015,False
7,failed,248,30,2017,False
8,successful,47,30,2018,True
9,successful,17,27,2017,True
10,successful,0,30,2012,False
11,successful,3,30,2016,False
12,failed,0,30,2017,False
13,successful,49,30,2020,True
15,failed,3,30,2014,False
16,successful,19,30,2018,False
17,failed,0,30,2016,False
18,successful,7,29,2018,False
19,successful,44,56,2014,True
20,successful,3,29,2016,False
21,successful,12,31,2013,False
22,failed,2,30,2018,False
24,successful,8,30,2019,False
25,failed,2,25,2011,False
26,successful,0,59,2010,False
28,failed,0,30,2018,False
29,failed,0,30,2015,False
30,successful,4,87,2010,True
32,successful,7,43,2017,False
33,successful,9,30,2014,True
34,successful,16,30,2019,False
35,failed,0,40,2018,False
37,successful,4,20,2015,False
38,successful,115,30,2014,True
39,successful,14,40,2013,False
40,successful,0,31,2011,False
41,successful,6,37,2017,False
42,failed,1,15,2019,False
43,successful,31,30,2019,False
44,failed,20,41,2015,False
45,failed,0,40,2015,False
46,successful,0,20,2016,False
47,successful,56,30,2019,False
48,failed,9,35,2016,False
49,failed,7,30,2015,False
51,failed,2,27,2017,False
52,successful,4,30,2012,False
53,successful,25,30,2016,False
54,failed,1,30,2017,False
55,successful,89,30,2018,False
56,successful,159,30,2014,False
57,successful,167,20,2016,False
58,successful,32,44,2017,False
59,failed,0,37,2019,False
60,failed,78,31,2016,False
61,failed,6,60,2018,False
62,failed,11,30,2017,False
63,successful,7,30,2013,False
64,failed,60,30,2017,False
65,failed,17,40,2020,False
66,successful,10,29,2020,False
67,failed,0,30,2019,False
68,failed,38,33,2014,False
69,failed,174,30,2017,False
71,successful,5,30,2015,False
72,successful,282,29,2020,False
73,failed,5,16,2012,False
75,failed,3,30,2016,False
76,failed,0,30,2019,False
77,failed,5,30,2018,False
78,successful,80,30,2017,False
79,failed,2,50,2017,False
80,successful,13,20,2013,False
81,successful,39,30,2018,False
82,failed,7,60,2018,False
83,failed,40,58,2015,False
84,failed,47,30,2017,False
85,successful,5,24,2014,False
86,failed,12,57,2015,False
87,successful,4,29,2018,True
88,successful,17,52,2018,False
89,successful,6,60,2014,False
90,failed,4,60,2013,False
91,successful,74,20,2015,False
92,failed,0,25,2017,False
93,failed,0,60,2016,False
94,successful,352,30,2019,True
95,failed,69,41,2014,False
96,failed,0,20,2020,False
97,failed,0,29,2015,False
98,failed,2,20,2016,False
99,successful,16,60,2012,True
100,successful,413,30,2013,False
101,successful,1,31,2017,False
102,successful,2,20,2017,False
103,failed,47,40,2018,False
104,failed,99,31,2015,False
105,successful,70,30,2020,False
106,successful,8,35,2015,False
108,successful,4,49,2014,False
109,failed,1,30,2016,False
110,successful,36,36,2018,False
111,failed,12,18,2017,False
113,failed,2,30,2015,False
114,successful,35,50,2011,False
115,successful,18,30,2019,True
116,failed,16,19,2016,False
117,successful,0,59,2012,False
118,failed,61,30,2014,False
119,successful,15,30,2015,False
120,successful,9,26,2019,False
121,successful,26,60,2020,False
122,failed,842,44,2015,False
123,failed,1,30,2018,False
124,successful,32,30,2018,False
125,failed,15,55,2019,False
126,successful,5,20,2016,False
127,failed,4,15,2017,False
128,failed,16,59,2020,False
129,failed,2,60,2014,False
130,successful,84,28,2014,False
131,failed,3,26,2018,False
132,failed,13,30,2017,False
133,failed,8,30,2018,False
134,failed,6,30,2015,False
135,successful,11,31,2015,False
136,successful,2,22,2018,False
137,failed,51,60,2015,False
138,successful,4,10,2019,False
139,successful,1,36,2018,False
140,failed,82,60,2018,False
141,failed,510,15,2014,False
142,successful,0,30,2015,True
143,successful,3,30,2014,False
146,successful,56,30,2020,True
147,successful,73,37,2016,False
148,failed,30,25,2016,False
149,failed,29,35,2018,False
150,successful,2,30,2019,False
151,successful,0,30,2016,False
152,successful,119,30,2012,False
153,successful,24,30,2019,False
154,failed,23,30,2019,False
155,failed,0,28,2018,False
156,failed,28,43,2014,False
157,failed,112,30,2015,False
158,successful,373,30,2020,True
159,successful,1,30,2018,False
160,failed,1356,45,2017,False
161,failed,0,12,2020,False
162,successful,4,30,2015,False
164,failed,2,37,2015,False
165,failed,49,30,2014,False
166,successful,2,30,2016,True
